"","year","sex","education","vocabulary","year_group"
"19870607",1987,"Female",12,5,"[1974,1995]"
"19900423",1990,"Female",14,7,"[1974,1995]"
"19962610",1996,"Female",17,6,"(1995,2016]"
"20141153",2014,"Male",14,5,"(1995,2016]"
"19840045",1984,"Female",12,8,"[1974,1995]"
"20140694",2014,"Male",14,5,"(1995,2016]"
"20160273",2016,"Female",16,5,"(1995,2016]"
"20002520",2000,"Female",12,3,"(1995,2016]"
"20000458",2000,"Male",12,2,"(1995,2016]"
"19760451",1976,"Female",11,3,"[1974,1995]"
"19840179",1984,"Male",9,6,"[1974,1995]"
"19821050",1982,"Female",15,6,"[1974,1995]"
"20041277",2004,"Male",12,6,"(1995,2016]"
"19900988",1990,"Male",16,8,"[1974,1995]"
"20080599",2008,"Female",16,7,"(1995,2016]"
"19941982",1994,"Female",12,7,"[1974,1995]"
"20060520",2006,"Male",14,7,"(1995,2016]"
"20162467",2016,"Female",20,9,"(1995,2016]"
"19900799",1990,"Female",12,5,"[1974,1995]"
"20081001",2008,"Female",14,7,"(1995,2016]"
"20142344",2014,"Female",13,7,"(1995,2016]"
"19840376",1984,"Female",13,5,"[1974,1995]"
"20001875",2000,"Male",16,6,"(1995,2016]"
"19780957",1978,"Male",12,2,"[1974,1995]"
"19870657",1987,"Male",13,6,"[1974,1995]"
"19901087",1990,"Female",12,3,"[1974,1995]"
"19740415",1974,"Male",8,8,"[1974,1995]"
"19900905",1990,"Male",14,6,"[1974,1995]"
"20121269",2012,"Male",20,9,"(1995,2016]"
"19890431",1989,"Male",15,5,"[1974,1995]"
"19941218",1994,"Male",6,4,"[1974,1995]"
"19981323",1998,"Female",12,6,"(1995,2016]"
"19941765",1994,"Female",9,1,"[1974,1995]"
"19821354",1982,"Male",17,7,"[1974,1995]"
"20101351",2010,"Female",11,0,"(1995,2016]"
"20040144",2004,"Female",16,9,"(1995,2016]"
"20081862",2008,"Male",12,9,"(1995,2016]"
"19780402",1978,"Female",12,4,"[1974,1995]"
"20061013",2006,"Female",17,6,"(1995,2016]"
"19910934",1991,"Female",14,8,"[1974,1995]"
"20101050",2010,"Female",14,5,"(1995,2016]"
"20001555",2000,"Male",12,2,"(1995,2016]"
"20081252",2008,"Female",12,3,"(1995,2016]"
"19961635",1996,"Female",13,7,"(1995,2016]"
"19960540",1996,"Female",17,8,"(1995,2016]"
"20081586",2008,"Male",12,6,"(1995,2016]"
"19740723",1974,"Female",12,7,"[1974,1995]"
"19940973",1994,"Male",5,3,"[1974,1995]"
"20061855",2006,"Female",12,7,"(1995,2016]"
"20041562",2004,"Male",20,9,"(1995,2016]"
"19940990",1994,"Female",12,4,"[1974,1995]"
"20120852",2012,"Male",17,8,"(1995,2016]"
"19930674",1993,"Male",2,1,"[1974,1995]"
"19841407",1984,"Male",9,5,"[1974,1995]"
"19760735",1976,"Male",8,2,"[1974,1995]"
"19780136",1978,"Female",9,3,"[1974,1995]"
"19880713",1988,"Male",16,5,"[1974,1995]"
"19942987",1994,"Male",14,5,"[1974,1995]"
"20002523",2000,"Female",13,3,"(1995,2016]"
"19910701",1991,"Female",14,5,"[1974,1995]"
"20141281",2014,"Male",12,5,"(1995,2016]"
"19872050",1987,"Female",12,6,"[1974,1995]"
"19940059",1994,"Female",19,8,"[1974,1995]"
"19890017",1989,"Female",16,5,"[1974,1995]"
"20001773",2000,"Female",13,5,"(1995,2016]"
"19870357",1987,"Female",9,6,"[1974,1995]"
"19941027",1994,"Female",14,7,"[1974,1995]"
"20080364",2008,"Female",8,6,"(1995,2016]"
"19761420",1976,"Female",12,5,"[1974,1995]"
"20121476",2012,"Male",12,3,"(1995,2016]"
"19890347",1989,"Female",14,9,"[1974,1995]"
"20101842",2010,"Male",7,2,"(1995,2016]"
"19890697",1989,"Male",12,2,"[1974,1995]"
"19890083",1989,"Female",10,2,"[1974,1995]"
"19940917",1994,"Male",20,6,"[1974,1995]"
"20140290",2014,"Male",14,3,"(1995,2016]"
"20120957",2012,"Female",12,6,"(1995,2016]"
"19901241",1990,"Male",12,4,"[1974,1995]"
"20080909",2008,"Female",8,6,"(1995,2016]"
"20160897",2016,"Male",12,3,"(1995,2016]"
"19930489",1993,"Male",14,4,"[1974,1995]"
"20042725",2004,"Male",1,2,"(1995,2016]"
"19910361",1991,"Male",16,8,"[1974,1995]"
"19881152",1988,"Male",10,8,"[1974,1995]"
"20064191",2006,"Male",18,6,"(1995,2016]"
"19840059",1984,"Female",13,7,"[1974,1995]"
"20042652",2004,"Male",12,7,"(1995,2016]"
"19780831",1978,"Female",8,5,"[1974,1995]"
"19841422",1984,"Female",8,1,"[1974,1995]"
"19781504",1978,"Male",10,4,"[1974,1995]"
"19841238",1984,"Female",6,5,"[1974,1995]"
"19760357",1976,"Male",6,4,"[1974,1995]"
"20001179",2000,"Male",16,9,"(1995,2016]"
"20121488",2012,"Male",16,9,"(1995,2016]"
